,Title,Published_date,Views,Likes,Length,Link
190,Learn System Design with GeeksforGeeks,21-02-2023,118333,633,0 days 00:00:36,https://www.youtube.com/watch?v=XQEZ07JhVuA
122,GeeksforGeeks Classroom Program | Now in Noida and Gurugram!,08-05-2023,108465,92,0 days 00:00:38,https://www.youtube.com/watch?v=16D2cuRy5JY
98,Free Summer Offline Classes on Python Programing | For Students Aged 14-21 | GeeksforGeeks,09-06-2023,106927,53,0 days 00:00:37,https://www.youtube.com/watch?v=OOLXHwZzHfM
108,Full Stack Development | LIVE Classes | GeeksforGeeks,30-05-2023,88718,77,0 days 00:00:35,https://www.youtube.com/watch?v=cBfC9HLR9Qk
127,Job Fair for Students | Till 25th May Only | GeeksforGeeks,02-05-2023,82851,78,0 days 00:00:39,https://www.youtube.com/watch?v=1GEegOb3fHE
170,Master DSA Today and be the Masters of Tomorrow,15-03-2023,73478,318,0 days 00:00:25,https://www.youtube.com/watch?v=PsOXP5hg52w
83,DSA To Development: A Complete Coding Guide | Complete Coding Program By GeeksforGeeks,19-06-2023,48206,150,0 days 00:00:43,https://www.youtube.com/watch?v=phr8lXH2Ee0
165,Master Java Backend Development Live: Build Powerful Applications with Expert Guidance,20-03-2023,41265,584,0 days 00:00:29,https://www.youtube.com/watch?v=YR00_yMMD2Q
138,Create Your Own Apps Today | GeeksforGeeks,17-04-2023,34913,89,0 days 00:00:38,https://www.youtube.com/watch?v=LycNCWC3g18
153,Link in Comments| Master Python Backend Development with Django!#python #django #djangoframework,31-03-2023,30245,201,0 days 00:00:39,https://www.youtube.com/watch?v=OAMRaoId5Mk
103,DSA Offline Classes | Link In BIO,05-06-2023,30060,163,0 days 00:00:17,https://www.youtube.com/watch?v=ux9CXozxf8Q
116,Gate 2024: Prepare for Success! | GATE CSE 2024 | GeeksforGeeks,18-05-2023,27438,293,0 days 00:00:52,https://www.youtube.com/watch?v=G-3vZKPEtKw
188,GeeksforGeeks Job Fair 2023,22-02-2023,25806,49,0 days 00:00:31,https://www.youtube.com/watch?v=xIC1IFPod9Y
148,Rule the Coding World with Geek Summer Carnival | GeeksforGeeks,04-04-2023,25487,27,0 days 00:00:42,https://www.youtube.com/watch?v=zLj3Qb9T2Q4
97,CodeCamp Day 1 | DSA Fundamentals and Problem-Solving Challenges,10-06-2023,24428,947,0 days 02:08:37,https://www.youtube.com/watch?v=Zdp5vIHP9-c
132,Hire Best Talent with GeeksforGeeks,26-04-2023,14239,25,0 days 00:00:54,https://www.youtube.com/watch?v=xifGlf39ahQ
163,Age is Just a Number: The Story of a 14-Year-Old CEO | CodeCast | GeeksforGeeks,21-03-2023,14225,634,0 days 00:16:45,https://www.youtube.com/watch?v=TASew4CmC9w
27,Kickstart your DevOps Career | GeeksforGeeks,21-07-2023,13360,33,0 days 00:00:30,https://www.youtube.com/watch?v=8gwwlpBwr_s
180,A Step-by-Step Guide to Start with Google Cloud Services & AMD Instances | GeeksforGeeks,05-03-2023,12274,551,0 days 01:06:39,https://www.youtube.com/watch?v=FGsB6rVxh5o
156,The Art of Problem Solving: Data Structures and Algorithms @FrazMohammad,28-03-2023,10429,461,0 days 01:06:45,https://www.youtube.com/watch?v=Pe-Ag_MdByQ
